REFERENCE1,DOI,YEAR_OBS,YEAR_PUB
 Scott__D._1955_Yale_U.:_School_of_Forestry_Bulletin_62:1-75,NA,,
 Scott__D.A._1992_Journal_of_Ecology_80:705-717,NA,,
 Sharma__D.C._1988._Indian_Forester_114(5):261-268,NA,,
 Sharma__S.C._1989_Forest_Ecology_and_Management_29:151-163,NA,,
 Sims__I._1932_Journal_of_Forestry_30:90-91,NA,,
 Singh__B._et_al._1988_Indian_Forester_114(11):761-769,NA,,
 Singh__J.__1982__Proc.Indian_Acad.Sci._91__255-268,NA,,
 Singh__K.P.__1968__Proc.Symp.Recent_Adv.Trop.Ecol._655-665,NA,,
 Singh__L._1991._Annals_of_Botany_68:263-273,NA,,
 Singh__L._1991._Annals_of_Botany_68:275-284,NA,,
 Singh__O._1993._Indian_Forester_119(2):112-121,NA,,
 Singh__V._P._et._al._1987_Vegetatio_71:185-188,NA,,
 Singh__V.P._1990_Indian_Forester_116(2):131-139,NA,,
 Singii__V._et_al._1987._Indian_Forester_113(9):616-621,NA,,
 Sjors__H._1954_Acta_Phytogeographica_Suecica_34:1-135,NA,,
 Smith_and_Walton._1975._In:_Struct._&_Funct._of_Tundra_Ecos._(ed._Rosswall&Heal),NA,,
 Smock__L.A._1990._Arch._Hydrobiologia_118(2):169-187,NA,,
 Sollins__P.__1980__Ecological_Monographs__50__261-285,NA,,
 Songwe__N.C._1988_Journal_of_Tropical_Ecology_4:25-37,NA,,
